tickers,(Intercept),US_Mkt,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,ExUS_Mkt,ExUS_SMB,ExUS_HML,ExUS_RMW,ExUS_CMA,ExUS_MOM,IT_GOVT,LT_GOVT,LT_CORP,US_MBS
VWO,-0.0042686,0,0,0,0,0,0,1.030603008,0,0,0,0,0,0,0,0,0
IVV,-1.97E-04,1.002064369,-0.143705761,0,0.05231168,0,0,0,0,0,0,0,0,0,0,0,0
ALJ,-0.010925861,1.59998578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMAG,-0.010551387,0,0,0,0,0,0.67249404,0,0,0,0,0,0,0,0,0,0
INTC,-7.03E-04,0.935238518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VUG,-6.34E-04,1.047282488,-0.108902435,-0.234801871,0,0,0,0,0,0,0,0,0,0,0,0,0
VEU,-0.001819739,0,0,0,0,0,0,1.04861308,0,0,0,0,0,0,0,0,0
VTV,-3.62E-04,0.981118967,-0.176203291,0.153287514,0,0.18797797,0,0,0,0,0,0,0,0,0,0,0
VEMPX,-9.94E-04,1.046101042,0.539073225,0,0,-0.13189279,0,0,0,0,0,0,0,0,0,0,0
VIIIX,-1.25E-04,1.001812465,-0.141546298,0,0.047017511,0,0,0,0,0,0,0,0,0,0,0,0
VTPSX,-0.001664731,0,0,0,0,0,0,1.008723247,0,0,0,0,0,0,0,0,0
VFINX,-2.88E-04,1.001530311,-0.141445618,0,0.046434363,0,0,0,0,0,0,0,0,0,0,0,0
VGTSX,-0.00172112,0,0,0,0,0,0,1.013705171,0,0,0,0,0,0,0,0,0
BAC,-0.002096529,1.116022641,0,2.404517516,-2.379041227,-1.778732467,0,0,0,0,0,0,0,0,0,0,0
ALBKY,-0.058806119,0,0,0,0,0,0,2.161649197,0,0,0,0,-3.590463837,0,0,0,0
DSEEX,0.005379221,0.982045057,0,0,0.247348873,0,0,0,0,0,0,0,0,0,0,0,0
VXUS,-0.001668891,0,0,0,0,0,0,1.009213234,0,0,0,0,0,0,0,0,0
VTI,-8.58E-05,0.999888312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WFSPX,-2.36E-04,1.001914484,-0.141001088,0,0.046796051,0,0,0,0,0,0,0,0,0,0,0,0
WACSX,0.001346645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076154815,0.27751312,0.8406519
VBMPX,2.48E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.293443438,0,0.149570371,0.302620168
PTTRX,1.16E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.382301833,-0.260509601,0.360365055,0.528224431
BBW,0.010109552,0,0,1.751441624,0,0,0,0,0,0,0,0,0,0,0,0,0
